main_character,character,line_no,line_type,word,main_character_word
TRUE,Jenny,136,lines,eat,FALSE
TRUE,Jenny,136,lines,lunch,FALSE
TRUE,Jenny,136,lines,invited,FALSE
TRUE,Jenny,136,lines,parties,FALSE
TRUE,Jenny,138,lines,mom,FALSE
TRUE,Jenny,138,lines,idea,FALSE
TRUE,Rufus,139,lines,judgment,FALSE
TRUE,Rufus,139,lines,sound,FALSE
TRUE,Rufus,139,lines,jenny,TRUE
TRUE,Rufus,139,lines,wanna,FALSE
TRUE,Rufus,139,lines,party,FALSE
TRUE,Rufus,139,lines,kids,FALSE
TRUE,Rufus,139,lines,fun,FALSE
TRUE,Serena,141,lines,nate,TRUE
TRUE,Nate,142,lines,hey,FALSE
TRUE,Nate,142,lines,uhm,FALSE
TRUE,Nate,142,lines,mom,FALSE
TRUE,Nate,142,lines,told,FALSE
TRUE,Nate,142,lines,guys,FALSE
TRUE,Nate,142,lines,staying,FALSE
TRUE,Nate,142,lines,palace,FALSE
TRUE,Serena,143,lines,yeah,FALSE
TRUE,Serena,143,lines,renovating,FALSE
TRUE,Serena,143,lines,mom,FALSE
TRUE,Serena,143,lines,broke,FALSE
TRUE,Serena,143,lines,break,FALSE
TRUE,Nate,144,lines,upset,FALSE
TRUE,Nate,144,lines,night,FALSE
TRUE,Serena,145,lines,change,FALSE
TRUE,Serena,145,lines,school,FALSE
TRUE,Serena,145,lines,gonna,FALSE
TRUE,Serena,145,lines,late,FALSE
TRUE,Nate,146,lines,serena,TRUE
TRUE,Serena,149,lines,blair,TRUE
TRUE,Serena,149,lines,friend,FALSE
TRUE,Serena,149,lines,boyfriend,FALSE
TRUE,Serena,149,lines,loves,FALSE
TRUE,Serena,149,lines,supposed,FALSE
FALSE,Taxi Driver,151,lines,hey,FALSE
FALSE,Taxi Driver,151,lines,watch,FALSE
TRUE,Chuck,153,lines,serena,TRUE
TRUE,Chuck,153,lines,looked,FALSE
TRUE,Chuck,153,lines,effing,FALSE
TRUE,Chuck,153,lines,hot,FALSE
TRUE,Chuck,153,lines,night,FALSE
TRUE,Chuck,153,lines,wrong,FALSE
TRUE,Chuck,153,lines,level,FALSE
TRUE,Chuck,153,lines,perfection,FALSE
TRUE,Chuck,153,lines,violated,FALSE
TRUE,Nate,154,lines,deeply,FALSE
TRUE,Nate,154,lines,disturbed,FALSE
TRUE,Chuck,155,lines,telling,FALSE
TRUE,Chuck,155,lines,chance,FALSE
TRUE,Nate,156,lines,girlfriend,FALSE
TRUE,Chuck,157,lines,guys,FALSE
TRUE,Chuck,157,lines,dating,FALSE
TRUE,Chuck,157,lines,kindergarten,FALSE
TRUE,Chuck,157,lines,sealed,FALSE
TRUE,Chuck,157,lines,deal,FALSE
TRUE,Nate,158,lines,seal,FALSE
TRUE,Nate,158,lines,seal,FALSE
TRUE,Dan,163,lines,school,FALSE
TRUE,Dan,163,lines,identical,FALSE
TRUE,Dan,163,lines,uniforms,FALSE
TRUE,Dan,163,lines,tip,FALSE
TRUE,Nate,164,lines,funny,FALSE
TRUE,Dan,166,lines,guys,FALSE
TRUE,Dan,166,lines,wanna,FALSE
TRUE,Dan,166,lines,sit,FALSE
TRUE,Dan,166,lines,lunch,FALSE
FALSE,Isabel,168,lines,cute,FALSE
FALSE,Isabel,168,lines,framed,FALSE
TRUE,Blair,169,lines,bad,FALSE
TRUE,Blair,169,lines,promised,FALSE
TRUE,Serena,173,lines,hey,FALSE
TRUE,Serena,173,lines,guys,FALSE
TRUE,Serena,173,lines,looked,FALSE
TRUE,Serena,173,lines,dining,FALSE
TRUE,Serena,173,lines,hall,FALSE
TRUE,Serena,175,lines,serena,TRUE
TRUE,Jenny,176,lines,uhm,FALSE
TRUE,Jenny,176,lines,jenny,TRUE
TRUE,Serena,178,lines,party,FALSE
TRUE,Blair,179,lines,saturday,FALSE
TRUE,Blair,179,lines,kinda,FALSE
TRUE,Blair,179,lines,invited,FALSE
TRUE,Blair,179,lines,12,FALSE
TRUE,Blair,179,lines,hours,FALSE
